2015-04-27,0
2015-04-27,-4
2015-04-28,0
2015-04-28,-4
2015-05-06,0
2015-05-06,-6
2015-05-07,0
2015-05-07,-6
2015-05-12,0
2015-05-12,-6
2015-05-13,0
2015-05-13,-4
2015-05-14,0
2015-05-14,-4
2015-05-15,0
2015-05-15,-4
2015-05-16,0
2015-05-16,-6
2015-05-17,0
2015-05-17,-4
2015-05-18,0
2015-05-18,-4
2015-05-19,0
2015-05-19,-4
2015-05-20,0
2015-05-20,-4
2015-05-22,0
2015-05-22,-2
2015-05-23,0
2015-05-23,-6
2015-05-24,0
2015-05-24,-4
2015-05-29,0
2015-05-29,-3
2015-05-31,0
2015-05-31,-2
2015-06-01,2
2015-06-01,-3
2015-06-02,1
2015-06-02,-3
2015-06-03,2
2015-06-03,-3
2015-06-04,3
2015-06-04,0
2015-06-05,1
2015-06-05,-2